D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.0
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.0
44901|2012|Honda|Civic|SUV|Gray|103221|6995.0
123321|2025|Jaguar|F-type|convertible|green|10000|70000.0
142563|2024|BMW|5 Series|Sedan|Silver|12000|60000.0
475845|2024|Audi|A6 Sedan|Sedan|Blue|20000|59000.0
1233214|2022|Toyota|Camry|Sedan|Black|12000|25000.0
565698|2024|Kia|K5|Sedan|White|29000|30000.0
456884|2025|Genesis|G90|Sedan|Green|11000|85000.0
4585568|2023|Porche|Cayenne|SUV|Blue|23000|180000.0
877855|2024|Volvo|XC90|Suv|Blue|45000|68000.0
74847|2024|Audi|A6|Sedan|Red|50000|52000.0
965965|2024|Mercedes-Benz|E350|Sedan|White|42000|60000.0
